"Group.1","home_wp","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","rush_attempt","pass_attempt","penalty_yards","drive_play_count","drive_time_of_possession1","third_conversion1","fourth_conversion1","timeout","penalty"
"Pat Shurmur_2018",0.420674067774193,4.02932960893855,0.467515070328198,0.0790354989953115,0.446304044630404,0.00937709310113865,0.29608938547486,0.43854748603352,8.73949579831933,7.34372881355932,197.066440677966,0.377272727272727,0.692307692307692,68,120
"Pat Shurmur_2019",0.424402363367043,3.94104960460101,0.496556473829201,0.0922865013774105,0.4519368723099,0.0247933884297521,0.314162473040978,0.428468727534148,8.22222222222222,7.50659264399722,206.240111034004,0.377358490566038,0.538461538461538,62,118
"Pete Carroll_2018",0.637053650194194,4.08879184861718,0.451117318435754,0.0439944134078212,0.400436046511628,0.0160614525139665,0.334788937409025,0.387918486171761,8.80733944954128,6.84501061571125,191.244161358811,0.349753694581281,0.6875,75,110
"Pete Carroll_2019",0.413646816836377,4.375,0.499314128943759,0.032235939643347,0.445396145610278,0.0288065843621399,0.307857142857143,0.420714285714286,8.17525773195876,7.17541436464088,198.859806629834,0.386934673366834,0.5,71,98
"Pete Carroll_2020",0.603163148289839,4.02324120603015,0.496676737160121,0.0664652567975831,0.468592964824121,0.0308157099697885,0.309673366834171,0.437814070351759,7.53211009174312,7.58991494532199,202.786755771567,0.41025641025641,0.55,75,110
"Raheem Morris_2020",0.642411218045527,4.06263982102908,0.437634408602151,0.0333333333333333,0.497206703910615,0.0161290322580645,0.262863534675615,0.485458612975392,9.96296296296296,7.49405405405405,195.11027027027,0.41726618705036,0.428571428571429,42,55
"Romeo Crennel_2020",0.437769957481556,5.06758080313418,0.536218250235183,0.0545625587958608,0.490695396669931,0.0291627469426152,0.284035259549461,0.461312438785504,7.69230769230769,7.77578051087985,212.625354777673,0.472222222222222,0.416666666666667,43,66
"Ron Rivera_2018",0.684244019795509,4.31680236861584,0.513839602555003,0.0645848119233499,0.442719881744272,0.0177430801987225,0.308660251665433,0.430051813471503,8.40594059405941,7.21991404011461,205.498567335244,0.387096774193548,0.473684210526316,76,102
"Ron Rivera_2019",0.405845646340108,4.15299026425591,0.466977985323549,0.0707138092061374,0.46875,0.018679119412942,0.294853963838665,0.453407510431154,8.92929292929293,6.95497311827957,175.616935483871,0.344660194174757,0.555555555555556,61,100
"Ron Rivera_2020",0.357129325159843,3.82971729125575,0.543560606060606,0.0631313131313131,0.476660092044707,0.0202020202020202,0.309664694280079,0.456278763971072,8.63636363636364,7.18730158730159,194.668571428571,0.388663967611336,0.333333333333333,65,78
